,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,PROVINCE,DIVISION,DISTRICT,SUB DIVISION,AREA (sq.km),ALL SEXES (RURAL),MALE (RURAL),FEMALE (RURAL),TRANSGENDER (RURAL),SEX RATIO (RURAL),AVG HOUSEHOLD SIZE (RURAL),POPULATION 1998 (RURAL),ANNUAL GROWTH RATE (RURAL),ALL SEXES (URBAN),MALE (URBAN),FEMALE (URBAN),TRANSGENDER (URBAN),SEX RATIO (URBAN),AVG HOUSEHOLD SIZE (URBAN),POPULATION 1998 (URBAN),ANNUAL GROWTH RATE (URBAN)
267,267,267,267,267,SINDH,Sukkur Division,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,946.0,180739,92903,87833,3,105.77,5.2,130530,1.72,43349,22096,21253,0,103.97,5.06,15906,5.41
268,268,268,268,268,SINDH,Sukkur Division,KHAIRPUR DISTRICT,GAMBAT TALUKA,582.0,169334,87377,81954,3,106.62,6.13,132370,1.3,93884,48256,45623,5,105.77,6.08,40882,4.46
269,269,269,269,269,SINDH,Sukkur Division,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,585.0,208567,107578,100984,5,106.53,5.56,150316,1.74,231845,120044,111752,49,107.42,5.71,124939,3.3
270,270,270,270,270,SINDH,Sukkur Division,KHAIRPUR DISTRICT,KINGRI TALUKA,531.0,245116,125674,119438,4,105.22,6.1,184360,1.51,95181,48885,46291,5,105.6,5.87,44270,4.1
271,271,271,271,271,SINDH,Sukkur Division,KHAIRPUR DISTRICT,KOT DIJI TALUKA,520.0,262926,135854,127072,0,106.91,5.89,182369,1.94,85656,44131,41516,9,106.3,5.92,45599,3.37
272,272,272,272,272,SINDH,Sukkur Division,KHAIRPUR DISTRICT,MIRWAH TALUKA,631.0,258899,133128,125771,0,105.85,5.96,183203,1.83,93865,48210,45646,9,105.62,5.9,43170,4.16
273,273,273,273,273,SINDH,Sukkur Division,KHAIRPUR DISTRICT,NARA TALUKA,11611.0,122023,64315,57708,0,111.45,5.69,92387,1.47,38620,20214,18404,2,109.83,5.45,0,0.0
274,274,274,274,274,SINDH,Sukkur Division,KHAIRPUR DISTRICT,SOBHO DERO TALUKA,504.0,180580,92683,87891,6,105.45,6.06,127000,1.87,94606,48906,45690,10,107.04,6.32,50450,3.36
275,275,275,275,275,SINDH,Sukkur Division,SUKKUR DISTRICT,NEW SUKKUR TALUKA,109.0,43652,22548,21102,2,106.85,5.76,29374,2.1,276571,142961,133571,39,107.03,5.8,130101,4.04
276,276,276,276,276,SINDH,Sukkur Division,SUKKUR DISTRICT,PANO AQIL TALUKA,1042.0,336263,174272,161964,27,107.6,5.79,205976,2.61,100109,57085,43009,15,132.73,5.7,62225,2.53
